cpu_usage,memory_usage,error_rate,latency_p99,disk_usage,network_in,pod_restarts,hour_of_day,severity
12.98,11.57,1.268,58.6,59.58,33.08,2,19,0
4.26,26.41,2.51,55.9,62.8,17.71,0,13,0
15.27,46.42,1.074,44.8,52.38,121.15,0,11,0
13.18,10.72,13.677,42.0,49.66,4.32,1,21,1
23.39,34.74,3.747,63.5,73.85,71.87,1,22,0
41.77,53.82,4.328,55.7,66.0,7.94,3,12,0
16.12,42.01,2.39,69.2,41.51,87.55,1,10,0
35.26,35.27,9.758,51.9,37.46,55.39,1,22,1
38.56,21.14,2.465,26.1,52.22,7.49,0,11,0
62.61,31.57,4.118,205.3,38.23,69.44,2,9,0
40.54,16.73,0.375,93.8,62.83,50.52,0,7,0
40.65,33.87,0.652,69.7,63.94,43.09,1,7,0
40.66,8.7,0.509,138.6,50.23,114.26,0,2,0
20.37,88.08,2.086,46.6,63.08,26.72,0,17,1
29.95,24.28,0.103,68.3,25.6,1.75,1,16,0
32.21,29.26,3.277,34.5,38.75,4.63,0,18,0
74.19,35.89,2.2,119.6,15.78,146.26,3,2,1
18.24,59.19,1.424,164.1,82.78,57.93,0,10,0
7.68,35.72,0.429,10.2,73.57,116.13,1,18,0
49.07,42.87,0.333,12.2,36.63,22.51,0,15,0
35.01,70.19,1.461,8.8,36.77,26.01,1,15,0
32.53,29.88,2.141,12.3,33.18,47.41,0,6,0
13.09,57.54,0.92,73.1,25.47,2.01,0,8,0
16.85,28.99,1.812,75.1,55.87,10.03,0,22,0
19.66,48.53,2.747,38.8,46.27,7.97,0,23,0
30.67,56.06,2.953,249.8,65.35,0.77,4,22,1
18.95,18.12,0.105,30.9,59.69,96.82,0,8,0
36.8,20.89,0.278,157.2,51.11,11.71,2,3,0
33.76,45.32,0.257,163.9,50.67,14.4,3,13,0
3.98,24.57,0.588,20.8,68.52,106.63,1,22,0
29.58,31.38,2.404,38.8,33.49,163.99,0,14,0
34.52,20.62,2.025,19.7,32.29,156.86,0,4,0
22.31,19.63,2.346,121.0,63.04,31.82,1,18,0
33.24,48.53,0.8,15.5,40.0,142.1,2,1,0
27.91,37.4,1.977,97.0,16.22,52.69,1,16,0
29.22,52.67,2.666,22.7,25.82,43.62,0,4,0
41.38,45.32,1.61,31.2,18.24,123.74,2,12,0
15.09,48.2,0.003,106.4,44.04,0.12,0,10,0
27.81,11.02,0.752,41.8,27.73,10.74,2,4,0
31.69,22.24,0.802,29.3,27.44,75.99,1,13,0
30.87,56.54,4.676,41.8,27.56,33.96,1,18,0
30.46,44.71,3.162,41.4,13.11,20.5,3,13,0
34.48,35.04,1.033,37.4,22.86,37.64,2,2,0
51.85,76.56,5.426,32.0,54.15,12.13,0,8,1
40.37,76.3,3.474,33.7,58.98,10.12,1,17,0
15.07,80.22,0.042,71.0,41.69,87.17,1,16,1
14.13,29.39,3.661,139.8,38.98,61.81,1,5,0
25.93,44.49,0.032,64.8,36.35,79.13,0,15,0
35.51,49.45,1.521,205.9,15.0,13.01,1,5,0
28.15,16.22,1.633,33.5,17.65,47.7,0,2,0
24.98,61.66,4.928,10.9,84.67,27.98,1,18,0
25.18,52.31,1.702,12.9,55.74,75.11,0,12,0
22.94,21.04,3.696,67.8,50.88,10.8,0,18,0
42.44,12.22,2.326,97.6,33.32,5.32,1,7,0
23.81,49.78,0.426,135.5,50.04,199.68,0,17,0
43.12,47.06,1.485,196.9,55.01,3.69,1,1,0
46.72,89.4,1.927,59.0,76.87,45.17,1,3,1
16.78,25.45,1.833,53.8,70.19,59.97,0,17,0
45.21,20.88,2.385,77.3,49.73,50.24,1,22,0
49.69,14.91,0.849,129.8,24.99,48.12,1,19,0
13.47,35.43,4.297,9.9,20.23,27.83,1,0,0
10.37,23.35,4.205,84.5,66.05,2.47,1,7,0
14.93,56.14,0.857,199.8,65.55,10.31,0,22,0
30.24,25.74,0.862,29.2,48.88,42.76,1,12,0
28.86,71.54,3.955,40.3,30.65,0.19,1,18,0
41.99,29.78,0.388,24.8,72.14,17.4,0,23,0
18.55,13.68,0.538,92.2,43.27,13.14,2,16,0
24.04,47.27,3.228,33.9,52.57,81.67,2,4,0
33.95,47.09,1.615,42.3,73.37,39.63,1,22,0
29.16,46.19,0.171,10.7,54.76,21.36,2,19,0
21.46,7.75,1.652,21.2,37.12,23.64,1,15,0
41.85,63.18,1.033,15.6,28.05,27.66,2,19,0
16.28,12.84,2.616,30.6,53.02,27.84,1,12,0
22.8,56.51,1.08,8.0,21.92,14.64,0,12,0
23.11,44.13,0.996,90.7,47.41,10.03,0,17,0
17.74,56.42,0.684,15.5,49.7,2.68,0,8,0
40.95,35.76,6.708,78.6,22.46,101.11,2,22,1
19.24,78.31,0.213,46.3,66.43,29.53,0,7,0
4.46,54.94,0.616,261.1,53.63,3.93,0,17,0
7.53,14.09,1.247,18.5,34.43,37.94,2,1,0
12.9,35.55,0.231,30.4,45.29,19.48,0,7,0
28.4,49.75,0.57,45.8,57.67,58.02,1,13,0
35.99,54.86,1.248,116.1,45.91,3.05,1,7,0
37.92,24.29,1.832,43.0,19.82,12.23,6,19,1
30.4,44.83,2.829,42.6,53.24,14.0,0,14,0
65.13,40.23,0.961,34.6,57.11,27.13,1,18,0
11.05,45.56,1.479,20.7,50.65,50.79,0,13,0
18.38,20.05,0.017,155.6,34.68,37.51,1,0,0
9.48,57.11,0.632,103.3,60.27,4.37,0,19,0
16.62,61.62,8.173,16.7,47.47,19.13,0,15,1
25.43,58.31,5.456,35.8,37.22,72.92,1,2,1
29.9,47.62,0.907,22.6,81.43,18.8,1,11,0
27.88,19.95,0.793,63.6,39.41,13.26,2,8,0
16.59,57.62,0.077,121.3,42.94,60.33,1,3,0
27.65,78.4,0.919,87.7,46.52,8.48,3,22,0
31.17,27.35,0.054,146.7,68.42,91.67,1,1,0
37.08,52.62,5.275,15.2,51.44,33.36,0,21,1
1.13,10.17,0.784,22.5,25.42,27.87,0,8,0
20.61,51.45,6.307,27.9,55.55,83.59,3,2,1
27.41,68.51,4.358,956.9,26.28,21.04,1,6,1
50.03,67.36,1.891,101.6,14.11,61.1,2,10,0
5.49,60.83,5.444,320.5,47.44,38.97,0,11,1
39.03,41.89,3.386,23.6,25.45,16.53,0,18,0
13.84,9.91,0.816,78.7,29.13,1.39,0,3,0
57.91,72.64,2.672,171.1,45.45,62.78,0,13,0
65.86,31.94,3.718,156.6,79.62,92.32,0,16,0
37.26,74.74,2.4,29.0,48.03,54.66,0,18,0
10.08,47.6,3.954,26.3,41.08,7.04,0,12,0
29.49,59.25,1.243,83.4,23.79,12.73,0,6,0
15.37,69.58,1.391,346.7,37.81,2.6,1,2,0
7.9,40.3,2.094,9.1,49.37,56.56,2,13,0
53.9,42.27,4.685,64.4,63.16,57.25,0,19,0
49.29,29.02,4.779,33.2,50.89,23.31,0,0,0
46.79,39.17,0.871,88.8,43.51,17.29,2,13,0
28.79,48.15,2.318,48.1,67.91,20.41,1,21,0
21.89,4.26,0.854,139.2,32.93,6.2,1,23,0
26.41,21.54,1.129,23.9,38.17,14.71,0,9,0
26.54,26.58,5.762,91.4,48.15,17.9,0,4,1
55.49,79.65,8.237,73.1,35.01,22.99,3,3,1
44.42,68.43,1.023,59.7,68.94,152.7,3,5,0
21.71,32.45,0.04,538.3,49.54,29.87,1,2,1
18.73,29.31,0.911,56.4,56.86,73.78,0,15,0
63.92,50.16,8.255,290.3,30.97,5.85,1,13,1
40.15,13.97,0.897,31.8,14.81,27.4,0,5,0
23.86,26.78,0.061,67.5,79.89,5.79,3,19,0
13.98,50.29,2.72,96.2,36.52,42.38,1,0,0
40.91,75.67,2.048,124.1,59.29,34.81,1,10,0
44.7,58.83,1.467,59.7,17.32,23.46,0,2,0
18.03,47.24,3.456,22.1,37.42,13.93,3,8,0
27.0,35.47,0.229,49.0,71.09,62.55,1,22,0
50.74,24.51,0.246,9.1,32.62,147.7,1,7,0
13.82,30.46,0.683,69.2,38.55,284.87,0,18,0
20.77,55.01,2.276,142.7,42.74,19.87,1,22,0
31.62,34.51,4.932,58.0,52.46,14.74,0,8,0
37.03,20.56,7.805,24.2,61.03,72.0,1,0,1
29.54,26.23,2.109,27.6,42.76,7.0,3,15,0
27.47,56.51,0.024,65.5,23.53,35.57,1,2,0
8.58,42.98,0.016,46.9,49.03,112.72,1,17,0
2.16,38.54,0.11,139.6,14.04,27.35,2,15,0
19.37,56.15,2.671,144.7,50.77,61.48,2,17,0
53.92,23.45,3.428,122.6,38.47,70.5,2,19,0
22.54,75.14,0.592,96.4,53.42,47.85,0,20,0
15.92,39.04,3.252,121.6,24.82,91.18,1,14,0
25.68,80.36,0.224,58.3,24.65,46.39,2,15,1
23.61,22.0,7.081,44.9,42.91,0.12,2,14,1
28.05,33.75,1.262,32.1,43.05,40.75,0,10,0
31.97,39.65,1.914,60.4,32.02,39.02,1,10,0
19.53,74.46,0.034,85.1,15.9,68.53,2,8,0
11.64,23.66,0.143,46.9,47.69,31.55,1,3,0
32.32,35.88,0.084,125.8,26.05,93.46,1,20,0
16.58,53.81,1.233,214.9,26.35,18.61,0,5,0
22.07,14.76,4.003,44.5,57.34,9.65,1,13,0
10.92,28.6,1.053,175.1,50.39,79.89,0,8,0
36.96,11.96,0.367,38.5,42.08,46.5,1,15,0
38.09,47.06,2.411,157.5,26.32,44.73,2,15,0
21.6,48.29,0.885,138.6,51.54,53.02,2,3,0
51.57,31.93,3.193,44.3,39.2,15.61,2,3,0
7.56,59.15,0.602,16.6,48.66,1.04,2,5,0
6.49,50.33,3.756,14.2,38.61,11.37,1,8,0
24.86,23.24,2.855,29.4,17.95,109.47,1,22,0
56.23,35.53,0.488,136.8,63.38,23.62,1,7,0
29.73,17.41,5.076,77.6,40.02,26.78,0,17,1
38.3,3.24,1.022,13.0,49.85,35.92,2,11,0
18.47,10.47,5.627,153.3,40.16,84.21,1,17,1
33.2,12.68,0.161,8.0,39.6,26.49,0,15,0
19.85,85.09,0.474,83.4,34.34,83.83,0,11,1
43.45,44.17,1.549,9.5,44.97,15.33,0,1,0
22.06,54.21,0.938,94.2,13.63,51.19,1,15,0
47.8,36.68,5.731,57.1,27.46,78.54,2,10,1
12.28,69.33,1.395,41.8,37.93,0.3,0,15,0
27.08,39.03,0.302,20.9,38.87,36.52,0,22,0
47.74,25.05,0.508,24.6,33.24,9.42,1,15,0
14.82,61.02,0.506,613.9,31.26,47.38,2,0,1
46.59,15.05,0.629,37.1,38.18,103.58,0,9,0
28.58,63.32,0.416,23.7,46.4,26.65,0,13,0
30.08,51.89,0.772,13.2,51.36,110.36,0,12,0
26.35,46.75,2.406,28.6,11.51,26.82,1,23,0
37.34,18.42,0.156,26.2,39.9,8.49,0,22,0
16.46,21.98,1.306,74.6,40.7,44.2,0,14,0
5.65,80.08,2.922,26.6,54.11,116.38,0,3,1
19.43,42.6,0.039,24.2,61.87,42.84,0,16,0
36.62,49.1,0.056,132.1,34.46,175.38,2,9,0
36.8,77.85,0.081,28.7,40.94,47.82,1,10,0
23.94,44.32,6.975,98.4,67.11,202.79,0,2,1
14.41,14.81,1.306,25.9,20.33,85.58,0,21,0
73.81,23.83,0.174,53.9,25.56,27.46,1,6,1
41.24,6.88,0.626,12.2,29.53,1.2,1,6,0
10.18,36.98,4.951,130.3,50.57,7.48,0,0,0
22.63,32.26,0.631,13.9,65.31,72.78,0,1,0
37.72,47.53,7.033,462.7,49.35,51.87,1,5,1
17.8,9.35,0.248,96.9,24.91,38.91,1,10,0
45.93,15.12,0.52,49.9,25.03,69.9,3,15,0
13.15,32.18,2.401,64.4,47.56,4.54,2,5,0
19.59,36.54,2.698,99.1,32.34,1.47,1,4,0
28.4,43.9,1.344,31.2,60.19,2.71,0,7,0
50.0,53.09,2.77,42.7,42.96,28.23,0,14,0
26.06,29.05,2.929,117.9,61.93,175.19,0,14,0
8.73,16.8,2.755,86.5,26.93,26.74,0,6,0
38.08,27.83,0.248,77.0,27.09,10.93,2,11,0
20.01,34.74,4.066,46.7,32.04,218.82,1,1,0
10.26,42.47,0.372,86.2,29.17,215.17,0,23,0
57.1,53.82,0.728,71.0,14.44,142.95,2,7,0
11.61,21.11,3.407,230.8,81.74,113.43,2,10,0
7.28,42.29,1.69,59.0,25.34,19.39,1,3,0
37.42,23.97,2.34,178.1,77.06,137.91,0,19,0
38.29,21.89,0.399,337.8,63.49,31.57,2,23,0
48.92,46.64,2.11,9.3,59.36,5.99,0,5,0
21.8,35.95,0.324,78.0,40.48,130.06,0,16,0
40.77,14.84,1.233,43.3,37.96,55.36,0,21,0
9.84,14.84,1.868,52.6,19.14,19.14,0,10,0
35.4,38.74,1.369,5.9,62.74,74.67,0,14,0
73.14,49.33,0.933,70.8,58.55,99.5,0,7,1
38.41,55.85,1.462,201.2,24.58,162.84,0,13,0
8.79,47.38,0.561,33.6,45.86,17.8,2,12,0
20.74,86.69,0.374,55.7,40.81,133.02,4,2,1
64.64,32.13,2.531,27.1,60.56,10.79,1,21,0
11.09,62.33,2.169,23.5,59.44,17.13,2,13,0
37.38,8.93,1.659,52.6,46.59,79.47,1,13,0
29.24,89.86,5.769,64.1,41.5,70.46,2,22,1
34.46,61.34,4.111,187.6,40.85,60.54,0,21,0
6.51,48.43,1.983,147.2,25.11,103.14,0,17,0
37.09,11.05,1.606,49.7,49.57,254.82,1,16,0
8.88,62.68,3.259,16.8,26.38,110.91,1,2,0
32.01,41.34,0.496,21.1,40.07,20.38,1,17,0
53.68,41.08,2.276,141.3,30.36,103.1,0,23,0
32.79,43.45,2.426,170.3,25.64,233.91,1,5,0
19.84,16.75,1.669,72.7,59.89,67.7,2,8,0
19.9,37.43,6.718,54.1,67.94,54.09,3,21,1
52.6,47.6,0.303,138.2,48.95,5.26,2,20,0
13.4,15.27,2.193,78.3,47.9,231.75,1,6,0
36.44,12.12,1.307,75.0,36.66,19.24,2,20,0
21.36,11.55,0.336,35.2,29.66,10.34,0,13,0
7.34,21.61,3.719,50.4,41.23,31.54,0,11,0
16.66,71.8,0.274,82.0,79.65,24.72,2,14,0
37.05,11.61,1.979,8.0,26.47,10.43,2,2,0
44.92,22.5,0.205,8.0,65.52,45.19,1,22,0
40.22,57.12,2.26,103.4,31.2,64.22,1,18,0
8.92,16.46,0.477,33.5,62.76,20.62,1,22,0
76.4,9.65,1.213,45.4,29.13,123.94,1,3,1
25.06,66.19,0.007,42.4,25.12,10.84,0,8,0
22.91,49.85,1.836,56.1,29.3,31.4,2,13,0
52.92,60.91,0.473,26.1,52.99,3.25,0,20,0
20.1,15.37,1.638,352.1,18.94,4.91,0,6,0
13.43,19.36,0.463,42.0,57.0,55.62,2,5,0
44.71,18.19,0.589,34.1,16.13,45.77,0,12,0
23.18,22.82,0.762,115.4,35.95,57.17,1,14,0
37.46,53.11,0.739,115.2,58.88,46.72,0,13,0
28.36,12.27,0.389,40.6,47.52,192.1,1,16,0
26.15,7.72,2.815,10.7,27.6,40.84,0,0,0
65.39,81.66,6.985,27.8,31.36,18.04,4,18,1
21.99,30.02,3.212,60.2,57.55,41.12,1,12,0
37.69,42.38,0.79,9.2,27.72,71.19,0,21,0
34.35,27.29,2.435,89.0,8.09,12.56,0,20,0
16.04,52.75,0.268,31.5,32.71,74.58,3,16,0
62.78,31.87,6.693,51.6,57.21,24.05,1,15,1
33.44,23.74,0.999,191.7,8.2,31.11,1,23,0
30.46,29.06,1.351,10.7,27.82,118.27,0,17,0
36.82,32.02,4.025,70.5,16.85,33.19,0,13,0
32.89,78.06,0.685,348.2,81.14,46.39,0,12,0
0.72,86.31,3.797,4.2,65.36,9.7,1,5,1
12.82,58.95,0.675,8.0,33.51,40.24,0,17,0
36.7,47.94,6.828,146.6,38.83,15.24,1,2,1
30.07,53.96,0.781,30.2,52.3,18.52,1,6,0
11.18,67.03,4.921,130.0,43.79,72.15,0,15,0
11.41,53.22,0.393,36.5,37.08,108.08,1,21,0
36.72,45.78,4.07,15.1,25.47,168.14,1,3,0
40.36,81.78,1.34,55.5,16.19,75.96,0,6,1
29.71,20.85,1.446,201.9,50.25,140.83,0,18,0
27.76,46.43,2.812,14.2,44.38,4.46,2,2,0
7.82,47.24,6.812,38.3,30.01,67.4,2,12,1
27.35,62.15,0.311,17.1,51.82,78.19,1,14,0
39.03,57.45,2.204,19.2,72.38,92.03,3,22,0
47.33,56.28,0.891,124.4,28.25,10.86,2,11,0
37.13,43.95,0.957,95.6,70.07,10.34,1,19,0
23.81,33.38,0.696,48.5,65.23,36.13,2,17,0
17.33,23.0,0.203,236.3,40.63,50.78,4,6,1
25.39,33.49,5.383,303.6,31.86,17.44,0,11,1
12.98,28.88,6.219,145.0,65.63,20.38,1,17,1
34.42,38.02,0.275,14.8,49.03,84.13,1,13,0
13.7,84.53,1.006,9.5,82.32,119.53,2,13,1
27.5,17.07,0.834,129.8,44.75,34.41,2,23,0
12.9,26.96,6.853,32.5,26.15,44.66,0,16,1
34.37,40.16,8.613,25.8,31.63,18.6,1,22,1
42.82,43.95,0.14,41.9,34.56,14.42,3,15,0
13.66,23.03,1.37,101.5,30.2,131.02,0,10,0
15.85,49.53,2.486,53.2,17.04,44.69,1,10,0
29.41,59.87,2.755,190.7,65.37,70.97,0,19,0
29.11,34.37,4.606,34.5,23.28,17.71,1,3,0
18.05,28.76,0.642,31.7,27.79,15.89,1,10,0
13.08,69.15,2.628,37.1,35.04,77.25,2,12,0
46.38,24.51,2.133,37.2,43.7,31.71,1,7,0
18.48,47.68,0.089,51.8,48.43,62.52,0,10,0
28.33,63.16,3.459,178.8,53.12,77.76,0,8,0
20.72,8.61,0.64,47.9,56.23,53.15,0,17,0
38.16,57.66,2.312,82.3,34.86,6.48,0,10,0
44.61,68.52,3.84,17.1,17.23,69.04,0,15,0
25.23,35.91,0.884,87.6,39.38,9.51,1,17,0
47.71,12.77,0.001,23.4,21.12,50.7,1,15,0
12.59,57.08,1.465,193.5,28.6,152.98,2,21,0
42.88,33.95,0.233,59.7,14.86,80.42,2,6,0
16.25,53.7,1.366,84.1,62.81,74.27,0,8,0
17.7,20.94,5.706,69.8,32.56,1.83,1,8,1
20.64,24.26,1.754,263.6,53.09,129.33,0,10,0
33.81,55.05,0.511,28.5,39.14,91.05,0,21,0
14.97,37.39,1.226,16.1,62.52,61.36,2,14,0
54.9,30.27,0.233,77.4,35.48,3.27,0,17,0
58.56,46.18,7.461,121.7,34.71,38.17,2,9,1
9.27,5.92,7.753,749.6,38.21,20.28,0,21,1
12.86,26.16,0.276,64.7,52.33,12.41,1,10,0
13.44,24.6,0.65,26.7,22.99,36.09,1,19,0
28.52,44.93,0.22,75.4,32.09,10.91,2,16,0
35.32,75.34,0.851,91.2,63.21,112.43,0,16,0
60.14,33.52,3.353,32.4,30.12,121.63,0,21,0
42.14,19.01,0.411,25.6,57.57,90.64,2,18,0
14.18,27.96,1.829,44.3,26.45,0.8,1,2,0
41.58,55.08,5.492,37.5,14.22,56.2,1,1,1
33.71,46.44,11.361,41.4,50.05,4.51,1,14,1
15.6,53.43,1.406,10.6,49.21,52.7,1,15,0
21.72,50.57,0.587,171.0,21.35,1.1,0,0,0
27.8,53.18,1.055,21.7,40.66,21.39,2,17,0
56.57,1.38,1.197,16.0,33.93,74.84,2,2,0
11.5,63.09,1.173,2.0,34.63,24.03,1,12,0
43.71,14.81,3.232,208.2,26.97,194.51,2,20,0
31.27,21.78,1.139,88.4,32.84,87.14,0,1,0
25.71,25.51,3.303,20.3,26.62,112.5,0,9,0
26.26,18.39,0.498,15.8,62.35,13.43,0,14,0
59.15,67.44,1.51,31.5,46.19,25.67,1,7,0
19.81,45.24,0.344,18.2,25.72,16.99,2,4,0
35.25,17.32,4.566,50.8,49.22,10.92,0,18,0
34.01,19.12,0.369,57.2,65.89,81.54,0,19,0
58.4,32.06,6.688,29.5,16.79,102.71,1,1,1
28.77,60.1,1.746,18.1,28.93,17.68,1,12,0
10.55,4.27,0.806,140.0,18.1,5.55,0,8,0
6.03,45.77,0.156,73.5,36.07,3.31,1,4,0
46.67,44.48,0.559,115.0,41.37,181.6,1,19,0
39.86,66.78,1.55,163.4,30.64,31.17,1,3,0
33.93,34.85,2.587,100.3,45.38,190.54,1,6,0
30.1,20.68,0.68,314.6,65.91,8.62,3,23,0
12.86,47.18,0.893,192.1,63.89,23.9,0,18,0
2.34,36.28,0.014,32.2,60.06,20.34,1,13,0
41.05,59.3,0.68,101.8,26.96,81.46,0,2,0
25.04,19.84,1.429,32.3,69.1,69.82,0,16,0
36.2,52.0,4.984,159.6,75.94,24.51,0,1,0
38.73,9.37,2.481,44.2,43.13,92.91,1,20,0
25.88,13.7,2.635,102.8,47.53,37.64,0,9,0
33.63,35.02,2.344,312.9,40.37,111.06,0,20,0
12.27,32.79,0.036,103.1,46.57,12.97,0,4,0
7.53,71.94,1.98,39.4,45.45,60.84,3,9,0
44.36,30.82,0.844,18.7,42.47,6.64,0,2,0
33.47,50.49,2.412,46.3,20.19,30.8,4,13,1
25.04,61.71,1.934,34.4,68.99,85.31,2,20,0
10.92,37.96,4.503,172.4,71.62,121.67,0,19,0
34.31,10.84,2.023,26.1,29.73,36.3,0,10,0
52.53,76.82,0.131,53.0,48.9,28.52,1,7,0
19.54,8.12,1.427,21.0,27.7,59.97,0,11,0
41.96,10.77,3.825,126.5,52.2,76.23,2,0,0
12.14,32.64,0.723,32.7,47.2,2.86,0,7,0
16.74,14.87,1.871,92.9,60.04,21.67,2,19,0
26.94,30.97,1.38,143.4,56.15,24.16,1,22,0
16.14,37.52,1.714,75.5,37.41,55.06,2,3,0
55.17,31.02,1.506,34.4,24.67,138.71,0,11,0
40.37,72.7,3.095,86.0,44.79,35.12,0,11,0
27.16,43.25,4.322,30.0,51.38,5.76,1,0,0
36.28,69.79,0.2,21.0,34.16,209.06,0,21,0
13.41,52.12,2.612,270.5,60.93,11.88,0,13,0
54.16,22.21,4.44,79.6,44.42,50.25,0,10,0
27.72,28.76,0.696,91.9,50.45,4.79,1,16,0
36.72,32.94,6.467,18.1,57.5,8.84,2,11,1
53.51,60.22,7.654,43.5,76.88,54.42,0,5,1
40.04,52.38,4.783,90.5,86.09,1.07,0,4,0
10.09,40.72,0.549,64.3,47.49,166.96,0,10,0
23.85,25.47,1.514,35.8,33.26,54.97,0,5,0
25.67,72.53,0.542,42.3,35.14,29.38,0,17,0
10.56,52.52,0.091,15.0,53.3,9.0,1,11,0
29.82,20.0,4.761,101.4,68.17,91.42,2,11,0
38.77,19.59,0.619,92.7,6.55,186.75,1,1,0
19.54,51.38,1.71,41.9,36.47,91.75,1,17,0
37.98,35.62,0.814,53.8,51.86,83.63,1,4,0
41.09,10.24,0.371,110.1,36.0,163.34,1,3,0
5.04,37.81,1.341,60.0,73.42,28.39,1,12,0
42.23,49.56,1.509,25.8,63.06,65.46,1,9,0
12.31,24.19,3.227,224.6,48.81,0.6,1,15,0
4.32,58.78,0.004,107.3,38.04,9.55,1,12,0
42.18,50.43,6.421,21.3,37.57,9.12,0,12,1
30.96,53.07,3.709,88.3,45.51,0.03,0,6,0
45.01,42.54,0.034,43.5,22.23,46.12,0,1,0
34.58,29.98,2.444,147.8,54.35,5.19,0,14,0
13.21,21.69,0.166,192.6,44.35,51.62,0,14,0
26.52,50.47,1.681,70.9,38.37,83.75,0,23,0
21.53,48.49,2.578,49.0,18.01,46.28,2,10,0
5.9,18.45,1.582,267.5,57.59,7.25,3,16,0
31.38,29.67,1.58,37.1,10.66,46.18,1,15,0
15.43,20.62,1.082,54.7,55.6,178.63,2,14,0
12.16,27.99,0.035,15.0,58.18,11.06,2,6,0
10.19,44.11,2.444,91.5,52.34,4.13,0,5,0
46.76,37.28,1.298,27.5,17.42,15.25,1,20,0
56.86,28.25,0.743,49.8,79.49,22.42,0,13,0
20.15,24.05,0.546,56.6,65.22,32.09,0,17,0
26.26,66.69,0.05,25.9,42.42,55.62,2,22,0
35.64,64.74,0.5,31.9,40.74,18.9,1,6,0
27.16,13.06,0.069,71.9,56.42,26.31,1,12,0
9.0,21.5,0.089,46.6,55.53,86.32,2,3,0
44.94,14.9,0.262,55.5,20.91,8.26,1,13,0
37.85,49.04,0.685,59.3,39.29,34.77,0,21,0
29.09,67.87,1.96,127.8,31.06,51.83,0,20,0
36.29,11.64,2.844,5.9,10.64,27.54,0,17,0
16.34,45.72,2.541,154.4,42.06,189.86,2,16,0
31.99,15.63,0.644,13.4,43.51,10.28,2,0,0
43.23,63.47,2.501,161.7,68.75,41.48,1,21,0
29.79,29.26,1.702,72.9,31.75,147.79,2,12,0
24.09,4.33,0.505,84.4,25.18,102.73,0,23,0
25.78,68.3,4.728,34.1,43.47,39.91,0,12,0
28.76,88.05,1.562,324.7,52.84,27.0,0,1,1
42.65,41.94,4.75,24.6,50.87,58.5,1,0,0
52.24,51.05,2.524,199.2,77.6,176.37,1,8,0
10.69,36.34,0.992,38.0,54.71,50.53,1,17,0
41.18,60.09,0.552,64.6,71.24,94.46,0,20,0
36.97,26.68,0.954,77.7,34.19,2.79,0,4,0
26.68,37.54,0.014,67.1,66.37,5.49,0,3,0
9.82,70.72,0.139,52.6,43.35,12.58,0,6,0
14.5,47.47,2.617,54.1,69.04,22.87,2,14,0
44.14,60.03,0.498,52.2,26.64,16.49,3,18,0
43.1,65.89,3.313,292.1,37.43,35.18,2,7,0
9.46,23.2,0.079,116.0,57.28,28.0,0,13,0
44.64,24.5,0.895,54.1,60.76,12.19,2,1,0
18.51,32.24,0.223,52.3,30.29,99.15,1,15,0
61.56,61.2,9.585,8.1,28.4,0.12,0,5,1
54.48,44.81,2.78,187.8,40.5,116.52,0,10,0
30.4,61.52,0.888,70.6,58.72,28.07,0,13,0
27.04,16.79,0.494,68.2,27.76,128.61,2,5,0
11.58,24.17,2.051,38.8,52.87,13.11,1,14,0
59.96,75.28,0.656,7.5,24.89,65.93,2,9,0
39.67,20.19,0.543,44.2,37.92,1.53,0,15,0
24.75,26.02,1.341,65.8,64.02,119.19,2,6,0
41.67,16.81,0.87,187.6,21.01,34.61,0,10,0
30.34,56.16,1.521,112.0,42.1,297.92,2,12,0
11.12,48.58,0.656,8.1,34.6,45.49,1,20,0
35.87,45.91,2.607,586.1,20.21,117.54,1,5,1
32.03,25.48,1.294,125.5,21.77,37.4,0,4,0
59.54,83.17,1.336,16.9,55.43,0.86,2,19,1
41.67,45.38,0.452,81.8,40.18,21.96,0,15,0
17.34,36.49,0.335,13.7,66.91,176.42,0,7,0
8.46,60.06,5.294,73.8,35.43,1.29,2,1,1
60.47,44.29,1.961,96.5,73.23,75.62,1,16,0
38.95,18.1,1.754,160.2,31.88,4.8,2,6,0
43.54,27.33,0.671,96.0,67.04,9.07,1,10,0
63.05,57.95,0.552,58.9,58.67,0.99,2,2,0
27.98,18.95,2.992,44.8,22.69,4.73,3,12,0
8.51,30.52,0.658,47.4,35.55,2.11,0,20,0
29.42,53.3,1.318,30.5,15.8,68.76,0,11,0
24.39,51.28,2.444,19.2,47.85,48.79,0,1,0
33.32,52.42,0.612,73.6,22.02,24.94,0,8,0
12.75,27.14,0.078,308.4,60.0,48.24,1,13,0
27.66,37.26,7.035,16.7,35.34,5.97,2,20,1
11.18,29.12,0.582,51.1,53.59,7.12,0,11,0
23.96,28.31,0.279,116.9,19.49,22.71,0,3,0
34.04,51.66,2.646,146.0,43.35,6.64,1,2,0
29.88,65.08,1.904,55.7,61.54,25.39,1,23,0
27.73,18.18,0.618,82.0,68.25,37.28,2,5,0
18.85,47.03,0.345,93.5,70.03,94.49,0,20,0
2.66,68.27,1.156,54.2,21.62,71.46,2,11,0
16.97,26.71,4.022,195.6,67.04,67.49,0,22,0
24.98,25.67,2.089,17.5,68.64,61.29,0,2,0
25.39,24.33,0.016,53.3,41.16,62.3,0,13,0
